ti_no	r_no	ti_review	ti_date	u_no	ti_star
81	26	맛있는 커피와 함께 책을 읽기 좋은 카페입니다.	2024-08-16	10	4.1 
82	26	가족과 함께 즐길 수 있는 분위기와 맛있는 음식!	2024-08-20	28	4.4 
83	42	일본의 맛과 분위기를 그대로 느낄 수 있었습니다.	2024-08-17	45	4.8 
84	44	훌륭한 서비스와 맛있는 음식.	2024-08-14	58	3.8 
85	31	친구들과 함께 이야기 나누기 좋은 카페 분위기입니다.	2024-08-13	32	4.6 
86	29	분위기가 좋고 커피가 맛있는 아늑한 카페입니다.	2024-08-12	22	4.3 
87	9	분위기가 아름다운 양식 레스토랑에서 특별한 식사를 즐겼습니다.	2024-08-19	13	3.7 
88	21	중식의 맛을 즐길 수 있는 최고의 장소.	2024-08-21	30	4.2 
89	22	퀄리티 높은 양식 요리를 즐길 수 있는 최고의 장소.	2024-08-10	54	4.0 
90	19	분위기와 맛 모두 훌륭한 양식집.	2024-08-18	8	4.7 
91	42	흔하지 않은 일본의 맛을 느낄 수 있는 곳. 일식을 좋아하는 사람에게 강력 추천합니다.	2024-08-16	6	4.5 
92	14	일품 중식 메뉴를 맛볼 수 있는 곳.	2024-08-11	33	4.6 
93	46	일식의 정통 맛을 느낄 수 있었습니다. 신선한 재료와 정성 가득한 요리가 인상적이었습니다.	2024-08-15	3	4.9 
94	21	중식의 정통 맛을 느낄 수 있는 곳.	2024-08-20	25	3.5 
95	25	분위기와 서비스가 좋고 커피가 맛있는 카페입니다.	2024-08-17	11	4.8 
96	12	매장 내부가 아름다워서 식사를 즐기는 과정부터 기분이 좋아지는 일식 음식점.	2024-08-14	20	3.6 
97	20	일식을 좋아하는 사람이라면 꼭 한번 방문해보아야 할 곳입니다.	2024-08-13	15	4.1 
98	39	고급스러운 양식을 저렴한 가격에 즐길 수 있는 곳.	2024-08-12	44	3.9 
99	29	정성스러운 일본식 요리를 경험할 수 있는 최고의 장소입니다. 특히, 회와 초밥이 일품이었습니다.	2024-08-19	60	4.0 
100	21	맛과 양이 훌륭한 중식집.	2024-08-10	17	3.7 
101	26	카페 분위기와 맛있는 디저트를 함께 즐길 수 있는 곳입니다.	2024-08-21	7	4.3 
102	31	조용한 카페 분위기와 다양한 음료를 즐길 수 있어 좋았습니다.	2024-08-18	9	4.2 
103	1	일품 중식 요리를 맛볼 수 있는 곳.	2024-08-11	27	3.8 
104	2	한국의 맛과 멋을 담은 맛있는 음식을 즐길 수 있었습니다.	2024-08-15	40	4.5 
105	2	한식의 정통 맛을 즐길 수 있는 좋은 곳이었습니다.	2024-08-20	14	4.4 
106	8	정성 가득한 한끼 식사로 소중한 시간을 보낼 수 있었습니다.	2024-08-16	12	3.6 
107	17	분위기가 좋고 맛있는 음식을 제공하는 곳.	2024-08-17	19	4.7 
108	45	커피는 맛있었는데 디저트는 그저 그랬어요.	2024-08-13	50	3.5 
109	10	맛있는 스테이크와 와인을 즐길 수 있는 곳.	2024-08-14	53	4.6 
110	24	맛과 양이 풍부한 중식 요리.	2024-08-12	56	4.9 
111	7	양식 요리의 특별한 맛을 느낄 수 있는 곳.	2024-08-19	51	4.8 
112	20	오래된 맛집의 전통을 그대로 이어받은 곳이라 느낄 수 있었습니다. .	2024-08-10	59	3.7 
113	5	작은 소품과 함께 휴식하기 좋은 카페 분위기입니다.	2024-08-21	37	4.2 
114	36	한국의 전통 음식을 현대적으로 재해석한 맛있는 메뉴들이 있어요.	2024-08-18	1	3.9 
115	19	정성이 담긴 요리와 친절한 서비스가 돋보이는 양식집.	2024-08-11	39	4.5 
116	20	일본에서 느낄 수 있는 진정한 맛을 느낄 수 있었습니다. 특히, 참치와 연어가 일품이었습니다.	2024-08-15	24	4.0 
117	6	분위기도 좋고 음식도 맛있어서 기분 좋은 식사였어요.	2024-08-16	49	4.1 
118	45	독서와 공부하기에 좋은 조용한 카페 분위기.	2024-08-13	23	4.3 
119	41	매장 분위기가 아름다운 양식 레스토랑.	2024-08-14	29	4.4 
120	3	맛있는 짜장면과 탕수육.	2024-08-17	57	3.8 
121	38	일식의 정수를 맛볼 수 있는 곳. 스시가 정말 맛있었습니다.	2024-08-20	38	4.2 
122	33	맛있는 커피와 함께 즐길 수 있는 편안한 카페.	2024-08-12	44	4.6 
123	44	맛과 양이 풍부한 중식 메뉴를 즐길 수 있는 곳.	2024-08-19	21	4.7 
124	10	훌륭한 서비스와 맛깔스러운 음식이 인상적인 양식집.	2024-08-10	58	4.0 
125	6	맛과 서비스가 어느 것 하나 빠지지 않는 곳이었습니다.	2024-08-21	33	4.3 
126	33	훌륭한 분위기와 다양한 메뉴를 제공하는 카페입니다.	2024-08-18	14	3.9 
127	41	맛있는 음식과 아름다운 분위기를 느낄 수 있는 양식집.	2024-08-11	35	3.6 
128	27	깔끔한 맛과 서비스로 편안한 식사를 즐길 수 있었어요.	2024-08-15	50	4.8 
129	11	그저 그래요.	2024-08-13	26	3.5 
130	32	카페인 분위기와 함께 즐길 수 있는 다양한 음료를 제공하는 카페입니다.	2024-08-14	40	4.1 
131	17	매번 만족스러운 중식 식사.	2024-08-16	18	4.5 
132	18	맛있는 김치찌개와 정갈한 반찬이 인상적이었습니다.	2024-08-17	48	4.4 
133	47	일본의 맛과 분위기를 그대로 느낄 수 있고, 다양한 종류의 초밥을 맛볼 수 있었습니다.	2024-08-12	59	4.6 
134	3	맛있고 가격도 저렴한 중식집.	2024-08-20	52	3.7 
135	13	신선한 재료와 정교한 손길이 느껴지는 일식의 진수를 맛볼 수 있는 곳.	2024-08-13	41	4.2 
136	16	친구들과 함께 이야기 나누기 좋은 편안한 카페 분위기입니다.	2024-08-12	7	4.9 
137	45	작업하기에 딱 좋은 조용한 카페 분위기입니다.	2024-08-19	22	4.8 
138	13	소박하지만 정성 가득한 일식을 맛볼 수 있었습니다.	2024-08-21	46	3.6 
139	36	한식을 먹고 싶을 때 가는 곳 중에 최고예요.	2024-08-10	45	4.3 
140	39	양식 요리의 정통 맛을 경험할 수 있는 최고의 장소.	2024-08-21	55	3.5 
141	19	신선한 재료로 만든 정통 양식을 맛볼 수 있는 곳.	2024-08-18	23	4.0 
142	22	맛과 서비스 모두 최고였던 양식 음식점.	2024-08-11	51	3.9 
143	2	가족과 함께 나들이하기 좋은 곳이에요. 음식도 훌륭합니다.	2024-08-16	19	4.7 
144	11	중식의 진수를 맛볼 수 있는 곳.	2024-08-20	56	4.1 
145	9	정성 가득한 요리와 훌륭한 와인을 즐길 수 있는 양식 레스토랑.	2024-08-17	39	4.4 
146	48	정성 가득한 프렌치 요리를 맛볼 수 있는 곳.	2024-08-14	49	4.6 
147	39	집밥 느낌이 나는 정갈한 한식 요리를 즐겼습니다.	2024-08-13	43	4.2 
148	6	맛있는 음식과 친절한 서비스로 힐링할 수 있었어요.	2024-08-12	31	4.5 
149	15	간단한 요리지만 맛과 퀄리티가 일품이었습니다.	2024-08-19	2	4.8 
150	40	중국의 맛과 분위기를 그대로 느낄 수 있는 곳.	2024-08-21	6	4.3 
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
